Date,Adj Close,R,Training,R.normed,X1,X2,X3,X4,X5,Y
05/09/2014,17137.35938,0.003970766,1,0.521609983,0.454354785,0.491729124,0.461363836,0.486751459,0.47489061,0.521609983
08/09/2014,17111.41992,-0.001513621,1,0.464418211,0.491729124,0.461363836,0.486751459,0.47489061,0.521609983,0.464418211
09/09/2014,17013.86914,-0.005700917,1,0.420752633,0.461363836,0.486751459,0.47489061,0.521609983,0.464418211,0.420752633
10/09/2014,17068.71094,0.003223359,1,0.513815942,0.486751459,0.47489061,0.521609983,0.464418211,0.420752633,0.513815942
11/09/2014,17049,-0.0011548,1,0.468160035,0.47489061,0.521609983,0.464418211,0.420752633,0.513815942,0.468160035
12/09/2014,16987.50977,-0.003606677,1,0.442591595,0.521609983,0.464418211,0.420752633,0.513815942,0.468160035,0.442591595
15/09/2014,17031.14063,0.002568408,1,0.506986049,0.464418211,0.420752633,0.513815942,0.468160035,0.442591595,0.506986049
16/09/2014,17131.9707,0.005920336,1,0.541940312,0.420752633,0.513815942,0.468160035,0.442591595,0.506986049,0.541940312
17/09/2014,17156.84961,0.001452192,1,0.495346025,0.513815942,0.468160035,0.442591595,0.506986049,0.541940312,0.495346025
18/09/2014,17265.99023,0.006361344,1,0.546539193,0.468160035,0.442591595,0.506986049,0.541940312,0.495346025,0.546539193
19/09/2014,17279.74023,0.000796363,1,0.488506972,0.442591595,0.506986049,0.541940312,0.495346025,0.546539193,0.488506972
22/09/2014,17172.67969,-0.006195726,1,0.415592706,0.506986049,0.541940312,0.495346025,0.546539193,0.488506972,0.415592706
23/09/2014,17055.86914,-0.006802115,1,0.409269213,0.541940312,0.495346025,0.546539193,0.488506972,0.415592706,0.409269213
24/09/2014,17210.06055,0.009040372,1,0.574476393,0.495346025,0.546539193,0.488506972,0.415592706,0.409269213,0.574476393
25/09/2014,16945.80078,-0.015354959,1,0.320079237,0.546539193,0.488506972,0.415592706,0.409269213,0.574476393,0.320079237
26/09/2014,17113.15039,0.00987558,1,0.583186027,0.488506972,0.415592706,0.409269213,0.574476393,0.320079237,0.583186027
29/09/2014,17071.2207,-0.002450144,1,0.454652039,0.415592706,0.409269213,0.574476393,0.320079237,0.583186027,0.454652039
30/09/2014,17042.90039,-0.00165895,1,0.462902695,0.409269213,0.574476393,0.320079237,0.583186027,0.454652039,0.462902695
01/10/2014,16804.71094,-0.013975875,1,0.334460469,0.574476393,0.320079237,0.583186027,0.454652039,0.462902695,0.334460469
02/10/2014,16801.05078,-0.000217806,1,0.47793111,0.320079237,0.583186027,0.454652039,0.462902695,0.334460469,0.47793111
03/10/2014,17009.68945,0.012418192,1,0.609700658,0.583186027,0.454652039,0.462902695,0.334460469,0.47793111,0.609700658
06/10/2014,16991.91016,-0.001045245,1,0.469302484,0.454652039,0.462902695,0.334460469,0.47793111,0.609700658,0.469302484
07/10/2014,16719.39063,-0.016038193,1,0.312954399,0.462902695,0.334460469,0.47793111,0.609700658,0.469302484,0.312954399
08/10/2014,16994.2207,0.016437804,1,0.651617613,0.334460469,0.47793111,0.609700658,0.469302484,0.312954399,0.651617613
09/10/2014,16659.25,-0.01971086,1,0.27465543,0.47793111,0.609700658,0.469302484,0.312954399,0.651617613,0.27465543
10/10/2014,16544.09961,-0.006912099,1,0.40812229,0.609700658,0.469302484,0.312954399,0.651617613,0.27465543,0.40812229
13/10/2014,16321.07031,-0.013480897,1,0.339622158,0.469302484,0.312954399,0.651617613,0.27465543,0.40812229,0.339622158
14/10/2014,16315.19043,-0.000360263,1,0.476445547,0.312954399,0.651617613,0.27465543,0.40812229,0.339622158,0.476445547
15/10/2014,16141.74023,-0.010631209,1,0.369339011,0.651617613,0.27465543,0.40812229,0.339622158,0.476445547,0.369339011
16/10/2014,16117.24023,-0.001517804,1,0.464374584,0.27465543,0.40812229,0.339622158,0.476445547,0.369339011,0.464374584
17/10/2014,16380.41016,0.016328474,1,0.6504775,0.40812229,0.339622158,0.476445547,0.369339011,0.464374584,0.6504775
20/10/2014,16399.66992,0.00117578,1,0.492463572,0.339622158,0.476445547,0.369339011,0.464374584,0.6504775,0.492463572
21/10/2014,16614.81055,0.013118595,1,0.617004541,0.476445547,0.369339011,0.464374584,0.6504775,0.492463572,0.617004541
22/10/2014,16461.32031,-0.009238158,1,0.383865901,0.369339011,0.464374584,0.6504775,0.492463572,0.617004541,0.383865901
23/10/2014,16677.90039,0.013156908,1,0.617404073,0.464374584,0.6504775,0.492463572,0.617004541,0.383865901,0.617404073
24/10/2014,16805.41016,0.007645433,1,0.559929813,0.6504775,0.492463572,0.617004541,0.383865901,0.617404073,0.559929813
